site	plotID	warming	treatment	year	date	recorder	writer	functional_group	species	cover
Skjellingahaugen	Skj_7_3	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Oma_sup	1
Skjellingahaugen	Skj_7_3	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Graminoids	Des_ces	2
Skjellingahaugen	Skj_7_3	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Deciduous_shrubs	Vac_myr	1
Skjellingahaugen	Skj_6_1	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Ant_odo	6
Skjellingahaugen	Skj_6_1	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Bis_viv	2
Skjellingahaugen	Skj_6_1	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Leo_aut	3
Skjellingahaugen	Skj_6_1	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Graminoids	Nar_str	20
Skjellingahaugen	Skj_6_1	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Oma_sup	3
Skjellingahaugen	Skj_6_1	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Deciduous_shrubs	Sal_her	6
Skjellingahaugen	Skj_6_1	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Vio_pal	1
Skjellingahaugen	Skj_6_1	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Alc_alp	20
Skjellingahaugen	Skj_6_1	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Graminoids	Ave_fle	2
Skjellingahaugen	Skj_6_1	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Evergreen_shrubs	Emp_nig	3
Skjellingahaugen	Skj_6_1	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Eup_wet	1
Skjellingahaugen	Skj_6_1	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Ver_alp	1
Skjellingahaugen	Skj_6_1	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Graminoids	Car_big	1
Skjellingahaugen	Skj_6_1	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Sib_pro	6
Skjellingahaugen	Skj_6_1	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Luz_mul	1
Skjellingahaugen	Skj_6_1	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Epi_sp	1
Skjellingahaugen	Skj_6_1	C	R	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Cer_cer	1
Skjellingahaugen	Skj_6_3	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Alc_alp	20
Skjellingahaugen	Skj_6_3	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Ant_odo	3
Skjellingahaugen	Skj_6_3	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Bis_viv	2
Skjellingahaugen	Skj_6_3	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Graminoids	Car_big	3
Skjellingahaugen	Skj_6_3	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Leo_aut	6
Skjellingahaugen	Skj_6_3	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Graminoids	Nar_str	25
Skjellingahaugen	Skj_6_3	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Oma_sup	3
Skjellingahaugen	Skj_6_3	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Graminoids	Ave_fle	1
Skjellingahaugen	Skj_6_3	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Vio_pal	1
Skjellingahaugen	Skj_6_3	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Eup_wet	1
Skjellingahaugen	Skj_6_3	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Luz_mul	1
Skjellingahaugen	Skj_6_3	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Deciduous_shrubs	Sal_her	10
Skjellingahaugen	Skj_6_3	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Cam_rot	1
Skjellingahaugen	Skj_6_3	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Cer_cer	1
Skjellingahaugen	Skj_6_3	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Sib_pro	1
Skjellingahaugen	Skj_6_3	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Epi_ana	1
Skjellingahaugen	Skj_6_3	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Lys_eur	1
Skjellingahaugen	Skj_6_3	C	N	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Ver_alp	1
Skjellingahaugen	Skj_6_4	W	C	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Alc_alp	15
Skjellingahaugen	Skj_6_4	W	C	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Ant_odo	8
Skjellingahaugen	Skj_6_4	W	C	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Graminoids	Ave_fle	3
Skjellingahaugen	Skj_6_4	W	C	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Cam_rot	1
Skjellingahaugen	Skj_6_4	W	C	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Eup_wet	2
Skjellingahaugen	Skj_6_4	W	C	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Bis_viv	2
Skjellingahaugen	Skj_6_4	W	C	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Graminoids	Nar_str	20
Skjellingahaugen	Skj_6_4	W	C	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Deciduous_shrubs	Vac_myr	15
Skjellingahaugen	Skj_6_4	W	C	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Graminoids	Car_big	1
Skjellingahaugen	Skj_6_4	W	C	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Deciduous_shrubs	Sal_her	3
Skjellingahaugen	Skj_6_4	W	C	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Lys_eur	2
Skjellingahaugen	Skj_6_4	W	C	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Oma_sup	1
Skjellingahaugen	Skj_6_4	W	C	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Pyr_sp	2
Skjellingahaugen	Skj_6_4	W	C	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Vio_pal	1
Skjellingahaugen	Skj_6_4	W	C	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Ver_alp	1
Skjellingahaugen	Skj_6_4	W	C	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Tar_sp	1
Skjellingahaugen	Skj_6_4	W	C	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Dip_alp	1
Skjellingahaugen	Skj_6_4	W	C	2018	21.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Leo_aut	2
Skjellingahaugen	Skj_2_4	C	R	2018	20.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Alc_sp	10
Skjellingahaugen	Skj_2_4	C	R	2018	20.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Ant_odo	2
Skjellingahaugen	Skj_2_4	C	R	2018	20.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Bis_viv	1
Skjellingahaugen	Skj_2_4	C	R	2018	20.08.2018	Siri Lie Olsen	Siri Lie Olsen	Graminoids	Car_big	3
Skjellingahaugen	Skj_2_4	C	R	2018	20.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Leo_aut	2
Skjellingahaugen	Skj_2_4	C	R	2018	20.08.2018	Siri Lie Olsen	Siri Lie Olsen	Graminoids	Nar_str	20
Skjellingahaugen	Skj_2_4	C	R	2018	20.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Tha_alp	1
Skjellingahaugen	Skj_2_4	C	R	2018	20.08.2018	Siri Lie Olsen	Siri Lie Olsen	Graminoids	Agr_cap	2
Skjellingahaugen	Skj_2_4	C	R	2018	20.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Eup_wet	3
Skjellingahaugen	Skj_2_4	C	R	2018	20.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Sib_pro	1
Skjellingahaugen	Skj_2_4	C	R	2018	20.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Tar_sp	1
Skjellingahaugen	Skj_2_4	C	R	2018	20.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Vio_pal	4
Skjellingahaugen	Skj_2_4	C	R	2018	20.08.2018	Siri Lie Olsen	Siri Lie Olsen	Deciduous_shrubs	Sal_her	3
Skjellingahaugen	Skj_2_4	C	R	2018	20.08.2018	Siri Lie Olsen	Siri Lie Olsen	Graminoids	Des_ces	2
Skjellingahaugen	Skj_2_4	C	R	2018	20.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Epi_sp	1
Skjellingahaugen	Skj_2_4	C	R	2018	20.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Ver_alp	1
Skjellingahaugen	Skj_2_4	C	R	2018	20.08.2018	Siri Lie Olsen	Siri Lie Olsen	Graminoids	Fes_rub	1
Skjellingahaugen	Skj_2_4	C	R	2018	20.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Sel_sel	1
Skjellingahaugen	Skj_2_4	C	R	2018	20.08.2018	Siri Lie Olsen	Siri Lie Olsen	Graminoids	Car_vag	1
Skjellingahaugen	Skj_2_5	C	N	2018	20.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Alc_sp	6
Skjellingahaugen	Skj_2_5	C	N	2018	20.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Ant_odo	8
Skjellingahaugen	Skj_2_5	C	N	2018	20.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Leo_aut	2
Skjellingahaugen	Skj_2_5	C	N	2018	20.08.2018	Siri Lie Olsen	Siri Lie Olsen	Graminoids	Nar_str	30
Skjellingahaugen	Skj_2_5	C	N	2018	20.08.2018	Siri Lie Olsen	Siri Lie Olsen	Deciduous_shrubs	Sal_her	8
Skjellingahaugen	Skj_2_5	C	N	2018	20.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Tha_alp	1
Skjellingahaugen	Skj_2_5	C	N	2018	20.08.2018	Siri Lie Olsen	Siri Lie Olsen	Graminoids	Agr_cap	3
Skjellingahaugen	Skj_2_5	C	N	2018	20.08.2018	Siri Lie Olsen	Siri Lie Olsen	Graminoids	Car_vag	1
Skjellingahaugen	Skj_2_5	C	N	2018	20.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Equ_arv	2
Skjellingahaugen	Skj_2_5	C	N	2018	20.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Eup_wet	4
Skjellingahaugen	Skj_2_5	C	N	2018	20.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Bis_viv	2
Skjellingahaugen	Skj_2_5	C	N	2018	20.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Epi_sp	2
Skjellingahaugen	Skj_2_5	C	N	2018	20.08.2018	Siri Lie Olsen	Siri Lie Olsen	Forbs	Sib_pro	3
Skjellingahaugen	Skj_2_5	C	N	2018	20.08.2018	Siri Lie Olsen	Siri Lie Olsen	Graminoids	Car_big	10
